,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,MA30,EMA12,EMA26,MACD,Signal,High_Low_9,Close_Low_9,K,D,J,DDT
756,000001.SZ,20220104,16.48,16.66,16.18,16.66,16.48,0.18,1.0922,1169259.33,1918887.05,,,,,16.66,16.66,0.0,0.0,,,0.0,0.0,0.0,
755,000001.SZ,20220105,16.58,17.22,16.55,17.15,16.66,0.49,2.9412,1961998.17,3344124.589,,,,,16.925416666666663,16.914423076923075,0.010993589743588217,0.0061075498575490095,,,0.0,0.0,0.0,
754,000001.SZ,20220106,17.11,17.27,17.0,17.12,17.15,-0.03,-0.1749,1107885.19,1896535.837,,,,,17.00136258660508,16.988284869393787,0.01307771721129214,0.008964175822197832,,,0.0,0.0,0.0,
753,000001.SZ,20220107,17.1,17.28,17.06,17.2,17.12,0.08,0.4673,1126630.7,1937710.958,,,,,17.064064655172412,17.047471168049082,0.01659348712333042,0.011548630870006975,,,0.0,0.0,0.0,
752,000001.SZ,20220110,17.29,17.42,17.03,17.19,17.2,-0.01,-0.0581,909774.01,1563414.572,17.064,,,,17.098280838272085,17.08052419205277,0.01775664621931483,0.01339537508386581,,,0.0,0.0,0.0,
751,000001.SZ,20220111,17.26,17.54,17.14,17.41,17.19,0.22,1.2798,1581999.4,2752485.391,17.214,,,,17.174044994056125,17.146515568579826,0.027529425476298997,0.017226488578215165,,,0.0,0.0,0.0,
750,000001.SZ,20220112,17.41,17.45,16.9,17.0,17.41,-0.41,-2.355,1502163.55,2561266.412,17.184,,,,17.135207462569472,17.12045853422448,0.014748928344992862,0.016599484178479194,,,0.0,0.0,0.0,
749,000001.SZ,20220113,16.91,17.24,16.82,16.98,17.0,-0.02,-0.1176,909422.65,1550319.158,17.156,,,,17.102818057360317,17.0978271840336,0.004990873326715217,0.013809716690824857,,,0.0,0.0,0.0,
748,000001.SZ,20220114,17.0,17.02,16.3,16.33,16.98,-0.65,-3.828,2103094.91,3459950.804,16.982,,,,16.94992713872135,16.984018339297997,-0.03409120057664694,0.0027443671643629,0.72,16.33,33.333,44.444,11.111,
747,000001.SZ,20220117,16.35,16.48,16.12,16.22,16.33,-0.11,-0.6736,1143689.43,1855633.789,16.788,16.926,,,16.811606229615748,16.878591244426914,-0.06698501481116637,-0.01287906218322429,0.72,16.22,33.333,44.444,11.111,
746,000001.SZ,20220118,16.25,16.54,16.16,16.52,16.22,0.3,1.8496,1152974.31,1891094.61,16.61,16.912,,,16.758249320718882,16.832081846422874,-0.07383252570399179,-0.026215331717374078,0.72,16.22,33.327,44.442,11.096,
745,000001.SZ,20220119,16.54,16.69,16.36,16.5,16.52,-0.02,-0.1211,988391.85,1630973.587,16.51,16.847,,,16.712333439291317,16.791280359171584,-0.07894691988026636,-0.037539865377344946,0.72,16.22,33.327,44.442,11.097,
744,000001.SZ,20220120,16.47,17.46,16.42,17.33,16.5,0.83,5.0303,3031193.77,5195805.549,16.58,16.868,,,16.819583819063666,16.854391267923855,-0.03480744886018883,-0.036961591109856355,1.04,16.22,33.309,44.436,11.054,
743,000001.SZ,20220121,17.45,17.56,17.21,17.35,17.33,0.02,0.1154,1481682.95,2575115.124,16.784,16.883,,,16.909896759438926,16.91005402665981,-0.00015726722088515999,-0.029262099091997968,1.04,16.22,33.309,44.436,11.053,
742,000001.SZ,20220124,17.34,17.38,16.98,17.2,17.35,-0.15,-0.8646,874770.87,1501390.339,16.98,16.884,,,16.958494018627068,16.941419078624037,0.017074940003031003,-0.0196567324800684,1.04,16.22,33.312,44.437,11.061,
741,000001.SZ,20220125,17.08,17.08,16.81,16.85,17.2,-0.35,-2.0349,1093283.97,1851999.025,17.046,16.828,,,16.9405645266219,16.931855892010155,0.008708634611743094,-0.01381935139109922,1.04,16.22,33.319,44.44,11.079,
740,000001.SZ,20220126,16.95,17.1,16.54,16.65,16.85,-0.2,-1.1869,984975.22,1646384.984,17.076,16.793,,,16.893088234288822,16.903245057560493,-0.010156823271671556,-0.01306997122605339,1.04,16.22,33.324,44.441,11.089,
739,000001.SZ,20220127,16.5,16.54,16.25,16.3,16.65,-0.35,-2.1021,1024643.11,1677261.296,16.87,16.725,,,16.79709803075747,16.843645509425365,-0.046547478667893216,-0.019888300820912135,1.04,16.22,33.332,44.444,11.107,
738,000001.SZ,20220128,16.39,16.45,15.82,15.83,16.3,-0.47,-2.8834,1675563.67,2695470.33,16.566,16.675,,,16.641817598065686,16.74591541497589,-0.1040978169102047,-0.03697647051774375,1.04,15.83,33.333,44.444,11.111,
737,000001.SZ,20220207,16.02,16.41,15.89,16.39,15.83,0.56,3.5376,1515476.3,2451798.485,16.404,16.692,16.809,,16.601654717520567,16.712349886115238,-0.11069516859467043,-0.05189217651513696,1.04,15.83,33.321,44.44,11.082,
736,000001.SZ,20220208,16.3,16.97,16.26,16.83,16.39,0.44,2.6846,1754695.28,2950309.012,16.4,16.723,16.818,,16.637869491265363,16.723225141318707,-0.08535565005334433,-0.058647175087721805,1.04,15.83,33.311,44.437,11.059,
735,000001.SZ,20220209,16.92,17.0,16.71,16.86,16.83,0.03,0.1783,1051161.66,1774253.636,16.442,16.759,16.803,,16.67293206228065,16.73564025455586,-0.06270819227520974,-0.05946541607807527,0.71,15.83,33.311,44.437,11.058,
734,000001.SZ,20220210,16.77,17.03,16.67,16.99,16.86,0.13,0.7711,784557.35,1326848.947,16.58,16.725,16.796,,16.72278077176278,16.758349438259913,-0.035568666497134416,-0.054657686334638224,0.71,15.83,33.308,44.436,11.051,
733,000001.SZ,20220211,17.03,17.34,17.03,17.1,16.99,0.11,0.6474,1078139.14,1852167.493,16.834,16.7,16.792,,16.781887049307343,16.7883950622736,-0.006508012966257581,-0.04498205980654507,0.71,15.83,33.305,44.435,11.046,
732,000001.SZ,20220214,17.1,17.15,16.51,16.58,17.1,-0.52,-3.0409,1150658.51,1917613.419,16.872,16.638,16.761,,16.750343165322544,16.770318955797443,-0.019975790474898503,-0.03996184008634109,0.71,15.83,33.317,44.439,11.073,
731,000001.SZ,20220215,16.5,16.67,16.1,16.28,16.58,-0.3,-1.8094,1208264.37,1968985.378,16.762,16.581,16.704,,16.677030181496296,16.728320809719342,-0.05129062822304675,-0.0422344663049673,0.71,15.83,33.323,44.441,11.088,
730,000001.SZ,20220216,16.35,16.53,16.21,16.41,16.28,0.13,0.7985,782399.59,1282234.15,16.672,16.557,16.675,,16.635491968972193,16.70136726154149,-0.06587529256929514,-0.046974091267818624,0.71,15.83,33.321,44.44,11.081,
729,000001.SZ,20220217,16.39,16.55,16.32,16.42,16.41,0.01,0.0609,794501.84,1306514.349,16.558,16.569,16.647,,16.602028073633864,16.677792617458543,-0.07576454382467901,-0.052743341131382494,0.71,16.28,33.33,44.443,11.104,
728,000001.SZ,20220218,16.32,16.77,16.31,16.77,16.42,0.35,2.1315,802499.4,1330233.365,16.492,16.663,16.669,,16.628074923564697,16.68544399759079,-0.057369074026095035,-0.0536699215240346,0.71,16.28,33.323,44.441,11.087,
727,000001.SZ,20220221,16.66,16.67,16.32,16.51,16.77,-0.26,-1.5504,800994.55,1316023.718,16.478,16.675,16.684,16.764,16.60978775656204,16.671014145730428,-0.06122638916838952,-0.055183088262597366,0.64,16.28,33.328,44.443,11.1,
726,000001.SZ,20220222,16.31,16.44,16.16,16.23,16.51,-0.28,-1.6959,894956.73,1454156.224,16.468,16.615,16.669,16.75,16.551027731205142,16.635035850684307,-0.08400811947916509,-0.060953809551462144,0.64,16.23,33.333,44.444,11.111,
725,000001.SZ,20220223,16.3,16.31,16.04,16.19,16.23,-0.04,-0.2465,886742.44,1431289.852,16.424,16.548,16.654,16.718,16.495218880745497,16.598999973779268,-0.10378109303377059,-0.06952605788276288,0.64,16.19,33.333,44.444,11.111,
724,000001.SZ,20220224,16.13,16.15,15.8,15.91,16.19,-0.28,-1.7295,1324086.85,2112842.553,16.322,16.44,16.582,16.678,16.404820462230095,16.543591851142917,-0.13877138891282215,-0.08338390754449551,0.64,15.91,33.333,44.444,11.111,
