,open,close,high,low,MA5,MA10,MA20,MA30,DDT,Derivative
2022-11-21 11:05:00,1.062,1.059,1.062,1.059,1.061,1.063,1.058,1.057,39.28571428571469,0.7815444182528221
2022-11-21 11:10:00,1.059,1.06,1.061,1.059,1.061,1.063,1.058,1.058,38.773809523809874,0.7940090091839432
2022-11-21 11:15:00,1.06,1.06,1.061,1.059,1.061,1.062,1.059,1.058,38.30972222222252,0.7558128249334938
2022-11-21 11:20:00,1.06,1.059,1.061,1.059,1.06,1.061,1.059,1.058,38.40148478836012,0.7170470491248332
2022-11-21 11:25:00,1.059,1.062,1.062,1.059,1.06,1.061,1.059,1.058,36.950080742945616,0.6773574474742107
2022-11-21 11:30:00,1.062,1.062,1.062,1.061,1.061,1.061,1.06,1.058,35.63524031543972,0.6389265416902111
2022-11-21 13:05:00,1.062,1.059,1.062,1.058,1.06,1.061,1.06,1.058,35.98158338295211,0.6035940786601501
2022-11-21 13:10:00,1.059,1.057,1.059,1.056,1.06,1.06,1.06,1.058,37.32349752963185,0.5691863296244574
2022-11-21 13:15:00,1.057,1.058,1.059,1.056,1.06,1.06,1.06,1.058,38.0317735574462,0.5308904635932691
2022-11-21 13:20:00,1.058,1.06,1.06,1.058,1.059,1.06,1.061,1.058,37.652053342631035,0.48767993681636534
2022-11-21 13:25:00,1.06,1.062,1.062,1.06,1.059,1.06,1.061,1.059,36.776527907686145,0.4411874562861505
2022-11-21 13:30:00,1.063,1.062,1.064,1.061,1.06,1.06,1.061,1.059,35.98430692900938,0.3103302571860178
2022-11-21 13:35:00,1.062,1.063,1.063,1.061,1.061,1.06,1.061,1.059,34.26525663815262,0.20050227798487075
2022-11-21 13:40:00,1.062,1.063,1.063,1.061,1.062,1.061,1.061,1.059,32.71014785813249,0.11647904757029745
2022-11-21 13:45:00,1.063,1.063,1.064,1.063,1.063,1.061,1.061,1.06,31.30558424698752,0.0599811112198489
2022-11-21 13:50:00,1.063,1.064,1.064,1.062,1.063,1.061,1.061,1.06,29.44196367539338,0.026167539838536757
2022-11-21 13:55:00,1.064,1.063,1.066,1.063,1.063,1.062,1.061,1.06,28.358080222995312,0.012857928412241253
2022-11-21 14:00:00,1.063,1.064,1.065,1.063,1.063,1.062,1.061,1.061,26.788621072236793,0.022529804628592928
2022-11-21 14:05:00,1.065,1.063,1.065,1.063,1.063,1.063,1.061,1.061,25.97440522165681,0.05519774918959258
2022-11-21 14:10:00,1.063,1.063,1.064,1.062,1.063,1.063,1.061,1.062,25.24921915007043,0.10499803675653203
2022-11-21 14:15:00,1.063,1.064,1.065,1.061,1.063,1.063,1.062,1.062,24.008167880541265,0.16796466749684813
2022-11-21 14:20:00,1.064,1.063,1.064,1.062,1.063,1.063,1.062,1.062,23.494408528623666,0.29472909882778997
2022-11-21 14:25:00,1.063,1.063,1.063,1.062,1.063,1.063,1.062,1.062,22.576502570480244,0.4823790398478245
2022-11-21 14:30:00,1.063,1.062,1.063,1.061,1.063,1.063,1.062,1.062,22.383023119604417,0.6802630636306087
2022-11-21 14:35:00,1.062,1.062,1.063,1.061,1.063,1.063,1.062,1.062,22.223817784501676,0.8881868752098423
2022-11-21 14:40:00,1.062,1.062,1.062,1.061,1.062,1.063,1.062,1.062,22.09553284983471,1.102879102286105
2022-11-21 14:45:00,1.061,1.062,1.062,1.06,1.062,1.063,1.062,1.062,21.995091620002995,1.3208519963088785
2022-11-21 14:50:00,1.062,1.064,1.064,1.061,1.062,1.063,1.062,1.062,20.67329646763045,1.5427801275306912
2022-11-21 14:55:00,1.064,1.063,1.064,1.062,1.063,1.063,1.063,1.062,20.11355319792463,1.7743887775756793
2022-11-21 15:00:00,1.064,1.065,1.066,1.063,1.063,1.063,1.063,1.062,18.37628927798079,2.0167514681271697
2022-11-22 09:35:00,1.061,1.052,1.061,1.05,1.061,1.062,1.062,1.062,24.91958850760247,2.2689924639696044
2022-11-22 09:40:00,1.051,1.049,1.052,1.047,1.059,1.06,1.062,1.061,32.73969780487073,2.510156027142462
2022-11-22 09:45:00,1.049,1.047,1.049,1.044,1.055,1.059,1.061,1.061,40.540844997794665,2.7147277794420646
2022-11-22 09:50:00,1.047,1.046,1.05,1.045,1.052,1.057,1.06,1.06,48.21161491441677,2.8760739738829053
2022-11-22 09:55:00,1.046,1.05,1.052,1.045,1.049,1.056,1.06,1.06,52.768992190773616,2.988542340963547
2022-11-22 10:00:00,1.05,1.048,1.05,1.047,1.048,1.055,1.059,1.06,58.078414512951895,3.0632085843389874
2022-11-22 10:05:00,1.048,1.043,1.048,1.043,1.047,1.053,1.058,1.059,65.25917425690679,3.110083751662341
2022-11-22 10:10:00,1.044,1.044,1.046,1.043,1.046,1.051,1.057,1.059,71.16858398235703,3.1213577754395456
2022-11-22 10:15:00,1.044,1.048,1.048,1.043,1.047,1.049,1.056,1.058,74.19769865898172,3.0958355107487963
2022-11-22 10:20:00,1.048,1.045,1.048,1.044,1.046,1.047,1.055,1.058,78.62285467672575,3.0463299167209845
2022-11-22 10:25:00,1.045,1.046,1.046,1.044,1.045,1.047,1.054,1.057,82.0177501635363,2.9787949559944056
2022-11-22 10:30:00,1.046,1.046,1.046,1.044,1.046,1.046,1.053,1.057,85.04783166129657,2.891427545552896
2022-11-22 10:35:00,1.046,1.045,1.047,1.044,1.046,1.046,1.052,1.056,88.31767781710639,2.7883742266211757
2022-11-22 10:40:00,1.045,1.045,1.046,1.044,1.045,1.046,1.052,1.055,91.2292158158674,2.670737071530037
2022-11-22 10:45:00,1.044,1.044,1.046,1.043,1.045,1.045,1.051,1.055,94.3866821220492,2.5388454034430126
2022-11-22 10:50:00,1.045,1.046,1.046,1.044,1.045,1.045,1.05,1.054,96.04501330645691,2.3929765896401145
2022-11-22 10:55:00,1.046,1.045,1.046,1.044,1.045,1.045,1.049,1.054,98.06191691227696,2.2361217613854323
2022-11-22 11:00:00,1.044,1.046,1.048,1.044,1.045,1.046,1.048,1.053,99.25669838639641,2.07095493152489
2022-11-22 11:05:00,1.046,1.045,1.047,1.044,1.045,1.045,1.047,1.052,100.8518822988277,1.8975566747251125
2022-11-22 11:10:00,1.045,1.045,1.046,1.044,1.045,1.045,1.046,1.052,102.23677242685406,1.716228943030478
2022-11-22 11:15:00,1.045,1.046,1.046,1.044,1.045,1.045,1.046,1.051,102.85725243228119,1.5244513543231948
2022-11-22 11:20:00,1.046,1.046,1.046,1.044,1.046,1.045,1.046,1.051,103.3578871956523,1.3333517286668057
2022-11-22 11:25:00,1.045,1.049,1.05,1.045,1.046,1.046,1.046,1.05,102.03059039518925,1.1582851047774607
2022-11-22 11:30:00,1.049,1.053,1.053,1.048,1.048,1.046,1.046,1.05,98.47361859746138,1.006782004389599
2022-11-22 13:05:00,1.053,1.046,1.054,1.046,1.048,1.047,1.046,1.049,99.20485820815105,0.8879113556574355
2022-11-22 13:10:00,1.046,1.047,1.049,1.046,1.048,1.047,1.046,1.049,99.24254113560214,0.7916668828890993
2022-11-22 13:15:00,1.047,1.048,1.049,1.046,1.049,1.047,1.046,1.048,98.65181152749003,0.705381489940141
