,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,600728.XSHG,2022-01-25,8.88,8.9,,8.55,8.83,8.52,8.92,5.72%,-1.79%,-1.01%,-4.15%
1,600728.XSHG,2022-01-24,8.86,8.88,,8.95,9.01,8.41,8.9,0.56%,-4.94%,1.24%,0.56%
2,600728.XSHG,2022-01-12,8.42,8.52,,8.72,8.85,8.59,8.62,0.23%,-0.23%,2.67%,1.16%
3,600728.XSHG,2022-01-11,8.34,8.42,,8.74,8.77,8.6,8.5,-1.65%,0,2.67%,1.16%
4,600728.XSHG,2022-01-10,8.24,8.34,,8.72,8.82,8.64,8.44,-2.25%,0,2.67%,1.16%
5,600728.XSHG,2022-01-07,8.15,8.24,,8.96,8.96,8.63,8.33,-5.64%,0,2.67%,1.16%
6,600728.XSHG,2022-01-06,8.04,8.15,,8.87,9.25,8.8,8.26,-4.24%,0,2.67%,1.16%
7,600728.XSHG,2021-06-16,6.73,6.77,,6.87,6.96,6.84,6.81,-0.59%,0,2.67%,1.16%
8,600728.XSHG,2020-07-16,9.73,9.81,,9.46,9.52,9.15,9.89,5.36%,-7.18%,-3.74%,-4.35%
9,600728.XSHG,2020-07-15,9.62,9.73,,9.82,9.95,9.36,9.84,1.12%,-4.57%,1.12%,-0.20%
10,600728.XSHG,2020-07-14,9.49,9.62,,10.2,10.22,9.73,9.75,-2.15%,0,1.12%,-0.20%
11,600728.XSHG,2020-03-02,10.46,10.53,,10.32,11.11,10.31,10.6,7.08%,3.58%,4.81%,-2.64%
12,600728.XSHG,2020-02-28,10.28,10.46,,10.02,10.25,9.85,10.64,8.36%,-5.08%,-3.67%,-5.83%
13,600728.XSHG,2020-02-27,10.1,10.28,,10.29,10.46,9.75,10.46,-2.39%,0,-3.67%,-5.83%
14,600728.XSHG,2020-02-26,9.86,10.1,,11.26,11.38,10.71,10.34,-6.00%,0,-3.67%,-5.83%
15,600728.XSHG,2020-02-25,9.64,9.86,,11.18,11.89,10.96,10.08,-5.46%,0,-3.67%,-5.83%
16,600728.XSHG,2020-02-24,9.45,9.64,,11.02,11.43,10.63,9.83,-10.17%,0,-3.67%,-5.83%
17,600728.XSHG,2020-01-14,9.66,9.75,,9.92,10.17,9.87,9.84,-0.51%,0,-3.67%,-5.83%
18,600728.XSHG,2020-01-13,9.59,9.66,,10.21,10.26,9.89,9.73,-1.13%,0,-3.67%,-5.83%
19,600728.XSHG,2019-09-18,9.81,9.87,,9.8,9.86,9.69,9.93,2.52%,-1.21%,-0.70%,-1.31%
20,600728.XSHG,2019-09-17,9.71,9.81,,9.9,9.96,9.68,9.91,1.41%,-2.32%,0.50%,-0.10%
21,600728.XSHG,2019-09-16,9.62,9.71,,10.07,10.08,9.77,9.8,-2.96%,0,0.50%,-0.10%
22,600728.XSHG,2019-09-12,9.52,9.62,,10.21,10.37,10.09,9.72,-4.53%,0,0.50%,-0.10%
23,600728.XSHG,2019-09-11,9.4,9.52,,10.21,10.33,10.16,9.64,-4.77%,0,0.50%,-0.10%
24,600728.XSHG,2019-09-10,9.26,9.4,,10.33,10.39,10.1,9.54,-6.08%,0,0.50%,-0.10%
25,600728.XSHG,2019-03-29,11.94,12.04,,12.21,12.64,12.09,12.14,6.51%,2.88%,4.12%,0.58%
26,600728.XSHG,2019-03-28,11.92,11.94,,11.87,12.16,11.35,11.96,1.51%,0.84%,1.67%,-0.75%
27,600728.XSHG,2019-03-27,11.93,11.92,,11.85,12.49,11.78,11.91,3.61%,-0.17%,4.87%,-0.50%
28,600728.XSHG,2019-03-26,11.79,11.93,,12.11,12.23,11.48,12.07,1.82%,-0.25%,1.33%,0.33%
29,600728.XSHG,2019-03-25,11.56,11.79,,12.96,13.02,11.85,12.02,-5.32%,0,1.33%,0.33%
30,600728.XSHG,2019-03-14,11.14,11.3,,10.93,11.19,10.81,11.46,7.16%,-4.36%,-2.36%,-4.62%
31,600728.XSHG,2019-03-13,10.96,11.14,,11.39,11.65,10.64,11.32,-2.74%,0,-2.36%,-4.62%
32,600728.XSHG,2019-03-12,10.81,10.96,,12.52,12.98,11.63,11.11,-1.17%,0,-2.36%,-4.62%
33,600728.XSHG,2019-03-11,10.62,10.81,,11.55,12.11,11.24,11.0,2.82%,10.09%,10.09%,5.00%
34,600728.XSHG,2019-03-08,10.33,10.62,,11.12,11.45,10.69,10.91,0.09%,4.77%,4.95%,1.92%
35,600728.XSHG,2019-03-07,10.03,10.33,,11.01,11.65,10.9,10.63,-6.96%,0,4.95%,1.92%
36,600728.XSHG,2019-03-06,9.73,10.03,,11.73,11.84,11.37,10.33,-9.68%,0,4.95%,1.92%
37,600728.XSHG,2019-03-05,9.5,9.73,,11.85,12.04,11.33,9.96,-8.94%,0,4.95%,1.92%
38,600728.XSHG,2019-03-04,9.34,9.5,,10.87,12.14,10.85,9.66,-10.46%,0,4.95%,1.92%
39,600728.XSHG,2019-03-01,9.18,9.34,,11.17,11.17,10.67,9.5,-3.68%,0,4.95%,1.92%
40,600728.XSHG,2019-02-28,9.01,9.18,,10.37,10.41,9.85,9.35,-6.84%,0,4.95%,1.92%
41,600728.XSHG,2019-02-27,8.83,9.01,,10.07,10.53,9.99,9.19,-6.96%,0,4.95%,1.92%
42,600728.XSHG,2019-02-26,8.65,8.83,,10.54,10.76,9.83,9.01,-7.55%,0,4.95%,1.92%
43,600728.XSHG,2019-02-25,8.53,8.65,,9.86,10.83,9.69,8.77,-5.82%,0,4.95%,1.92%
44,600728.XSHG,2019-02-22,8.44,8.53,,9.51,10.13,9.28,8.62,0.23%,15.43%,17.52%,10.32%
45,600728.XSHG,2019-02-21,8.34,8.44,,8.69,9.46,8.6,8.54,-0.59%,0,17.52%,10.32%
46,600728.XSHG,2019-02-20,8.25,8.34,,8.62,8.95,8.59,8.43,-1.66%,0,17.52%,10.32%
47,600728.XSHG,2019-02-19,8.16,8.25,,8.74,8.86,8.57,8.34,-3.72%,0,17.52%,10.32%
48,600728.XSHG,2019-02-18,8.11,8.16,,9.0,9.25,8.65,8.21,-3.90%,0,17.52%,10.32%
49,600728.XSHG,2019-02-15,8.05,8.11,,8.61,8.82,8.53,8.17,-3.30%,0,17.52%,10.32%
50,600728.XSHG,2019-01-29,7.68,7.75,,7.85,7.96,7.81,7.82,2.94%,0.00%,1.79%,0.38%
51,600728.XSHG,2019-01-28,7.58,7.68,,7.77,8.03,7.59,7.78,-0.26%,0,1.79%,0.38%
52,600728.XSHG,2019-01-25,7.47,7.58,,8.15,8.19,7.8,7.69,-3.12%,0,1.79%,0.38%
53,600728.XSHG,2019-01-24,7.38,7.47,,8.02,8.22,7.93,7.56,-4.89%,0,1.79%,0.38%
54,600728.XSHG,2019-01-23,7.29,7.38,,8.03,8.11,7.93,7.47,-4.55%,0,1.79%,0.38%
55,600728.XSHG,2019-01-22,7.2,7.29,,7.84,8.04,7.81,7.38,-5.83%,0,1.79%,0.38%
56,600728.XSHG,2019-01-21,7.12,7.2,,7.97,8.03,7.81,7.28,-5.63%,0,1.79%,0.38%
57,600728.XSHG,2019-01-18,7.02,7.12,,7.69,8.14,7.69,7.22,-2.91%,0,1.79%,0.38%
58,600728.XSHG,2018-11-26,7.52,7.61,,8.05,8.07,7.75,7.7,-1.04%,0,1.79%,0.38%
59,600728.XSHG,2018-11-23,7.42,7.52,,7.88,8.13,7.78,7.62,1.57%,5.64%,6.69%,3.41%
60,600728.XSHG,2018-11-22,7.33,7.42,,7.69,7.96,7.5,7.51,-3.33%,0,6.69%,3.41%
61,600728.XSHG,2018-11-21,7.27,7.33,,8.07,8.28,7.76,7.39,-2.30%,0,6.69%,3.41%
62,600728.XSHG,2018-11-20,7.15,7.27,,7.85,8.04,7.56,7.39,-5.28%,0,6.69%,3.41%
63,600728.XSHG,2018-11-19,7.02,7.15,,7.95,8.19,7.78,7.28,-10.16%,0,6.69%,3.41%
64,600728.XSHG,2018-11-13,6.64,6.74,,6.97,7.13,6.92,6.84,-0.29%,0,6.69%,3.41%
