trade_date,ts_code,open,close,high,low,volume,money,MA5,MA10,MA20,MA30
2022-05-27,002284.XSHE,6.93,6.94,7.09,6.85,10771100.0,75192314.0,6.94,6.86,6.49,6.53
2022-05-26,002284.XSHE,6.99,6.92,7.07,6.78,9536500.0,65888412.0,6.92,6.82,6.42,6.52
2022-05-25,002284.XSHE,6.85,6.99,7.03,6.75,14115490.0,97395793.0,6.91,6.77,6.37,6.51
2022-05-24,002284.XSHE,7.14,6.8,7.29,6.77,17237013.0,121657275.0,6.91,6.7,6.35,6.52
2022-05-23,002284.XSHE,6.88,7.05,7.1,6.84,13336455.0,93040322.0,6.88,6.64,6.34,6.53
2022-05-20,002284.XSHE,6.89,6.83,6.93,6.67,12429916.0,84473927.0,6.77,6.54,6.34,6.53
2022-05-19,002284.XSHE,6.8,6.89,6.9,6.72,14063697.0,95674533.0,6.73,6.46,6.34,6.55
2022-05-18,002284.XSHE,6.63,6.97,7.08,6.61,19205507.0,132390027.0,6.64,6.38,6.36,6.57
2022-05-17,002284.XSHE,6.52,6.65,6.65,6.46,10912153.0,71760170.0,6.5,6.29,6.35,6.59
2022-05-16,002284.XSHE,6.66,6.52,6.74,6.47,10464224.0,68565047.0,6.4,6.2,6.36,6.61
2022-05-13,002284.XSHE,6.42,6.63,6.64,6.4,11366957.0,74258229.0,6.31,6.12,6.36,6.65
2022-05-12,002284.XSHE,6.27,6.41,6.48,6.24,9429170.0,60286216.0,6.18,6.01,6.37,6.69
2022-05-11,002284.XSHE,6.18,6.28,6.53,6.12,10263124.0,65478507.0,6.13,5.96,6.38,6.73
2022-05-10,002284.XSHE,6.01,6.18,6.19,5.92,9803412.0,59846338.0,6.07,5.99,6.42,6.79
2022-05-09,002284.XSHE,6.02,6.03,6.15,5.99,6715141.0,40698594.0,5.99,6.04,6.47,6.84
2022-05-06,002284.XSHE,6.01,6.02,6.09,5.94,8508306.0,51200128.0,5.94,6.13,6.53,6.91
2022-05-05,002284.XSHE,5.99,6.13,6.23,5.99,9736039.0,59818781.0,5.83,6.23,6.6,6.97
2022-04-29,002284.XSHE,5.82,6.01,6.26,5.74,10818291.0,64524219.0,5.8,6.33,6.66,7.02
2022-04-28,002284.XSHE,5.72,5.76,5.91,5.68,9844004.0,56916859.0,5.91,6.42,6.74,7.08
2022-04-27,002284.XSHE,5.42,5.77,5.77,5.31,11691793.0,64619619.0,6.09,6.51,6.82,7.13
2022-04-26,002284.XSHE,5.94,5.5,5.94,5.45,16038817.0,90677901.0,6.33,6.6,6.91,7.19
2022-04-25,002284.XSHE,6.46,5.94,6.46,5.94,15131205.0,92093897.0,6.62,6.73,7.02,7.27
2022-04-22,002284.XSHE,6.69,6.6,6.79,6.56,7841812.0,52293187.0,6.87,6.81,7.11,7.33
2022-04-21,002284.XSHE,6.98,6.66,6.98,6.64,10860582.0,73806500.0,6.93,6.85,7.18,7.37
2022-04-20,002284.XSHE,6.9,6.95,7.1,6.83,11595368.0,80972882.0,6.93,6.9,7.24,7.41
2022-04-19,002284.XSHE,7.17,6.96,7.17,6.92,14834577.0,104037392.0,6.87,6.93,7.29,7.45
2022-04-18,002284.XSHE,6.98,7.17,7.18,6.86,16489361.0,116021040.0,6.84,6.96,7.34,7.5
2022-04-15,002284.XSHE,6.61,6.9,6.94,6.49,15515133.0,104697704.0,6.75,6.98,7.37,7.55
2022-04-14,002284.XSHE,6.72,6.69,6.75,6.64,5439927.0,36394957.0,6.78,7.05,7.4,7.62
2022-04-13,002284.XSHE,6.75,6.63,6.8,6.63,6178292.0,41272014.0,6.86,7.13,7.43,7.7
2022-04-12,002284.XSHE,6.74,6.81,6.82,6.64,7787184.0,52532116.0,6.99,7.23,7.49,7.79
2022-04-11,002284.XSHE,7.04,6.7,7.04,6.63,10620191.0,72177147.0,7.08,7.32,7.54,7.87
2022-04-08,002284.XSHE,7.07,7.06,7.15,6.88,9354580.0,65447236.0,7.22,7.42,7.59,7.95
2022-04-07,002284.XSHE,7.43,7.08,7.54,7.06,12374170.0,89541725.0,7.33,7.51,7.63,8.01
2022-04-06,002284.XSHE,7.3,7.28,7.39,7.21,7680442.0,55949722.0,7.4,7.6,7.67,8.06
2022-04-01,002284.XSHE,7.35,7.3,7.45,7.22,7122897.0,52263084.0,7.47,7.66,7.71,8.12
2022-03-31,002284.XSHE,7.56,7.38,7.58,7.36,7404837.0,55247516.0,7.55,7.71,7.77,8.16
2022-03-30,002284.XSHE,7.48,7.6,7.64,7.48,7257259.0,54903875.0,7.62,7.75,7.83,8.2
2022-03-29,002284.XSHE,7.68,7.44,7.73,7.34,9740338.0,72671425.0,7.7,7.75,7.9,8.24
2022-03-28,002284.XSHE,7.74,7.61,7.75,7.57,9747144.0,74376010.0,7.79,7.74,7.99,8.28
2022-03-25,002284.XSHE,7.89,7.74,7.89,7.71,5367096.0,41680672.0,7.85,7.75,8.07,8.31
2022-03-24,002284.XSHE,8.01,7.73,8.01,7.7,8699501.0,67714217.0,7.86,7.76,8.14,8.33
2022-03-23,002284.XSHE,7.94,7.97,8.13,7.86,9743161.0,77789627.0,7.87,7.76,8.21,8.38
2022-03-22,002284.XSHE,7.8,7.9,7.97,7.72,8506474.0,66945753.0,7.81,7.74,8.26,8.42
2022-03-21,002284.XSHE,7.78,7.91,7.96,7.75,7637421.0,60088693.0,7.68,7.74,8.3,8.47
2022-03-18,002284.XSHE,7.75,7.8,7.88,7.68,8685199.0,67686261.0,7.65,7.76,8.35,8.51
2022-03-17,002284.XSHE,7.69,7.79,7.97,7.69,15210734.0,119044141.0,7.65,7.82,8.38,8.56
2022-03-16,002284.XSHE,7.38,7.65,7.65,7.12,13396970.0,99150593.0,7.65,7.92,8.42,8.6
2022-03-15,002284.XSHE,7.77,7.27,7.8,7.27,12979974.0,98223809.0,7.68,8.06,8.48,8.65
2022-03-14,002284.XSHE,7.71,7.74,7.96,7.66,12363177.0,96669201.0,7.79,8.24,8.54,8.72
2022-03-11,002284.XSHE,7.64,7.79,7.81,7.47,11111014.0,84851627.0,7.87,8.4,8.58,8.79
2022-03-10,002284.XSHE,7.96,7.79,7.99,7.79,8793731.0,69345773.0,8.0,8.53,8.62,8.85
2022-03-09,002284.XSHE,7.94,7.8,7.94,7.45,12262653.0,94509341.0,8.19,8.66,8.69,8.93
2022-03-08,002284.XSHE,8.13,7.82,8.29,7.8,11566535.0,92068837.0,8.43,8.78,8.76,9.02
2022-03-07,002284.XSHE,8.36,8.16,8.38,8.06,11063342.0,90784537.0,8.7,8.86,8.84,9.12
2022-03-04,002284.XSHE,8.74,8.42,8.74,8.39,13108634.0,111902045.0,8.92,8.93,8.88,9.21
2022-03-03,002284.XSHE,9.07,8.74,9.08,8.71,13968186.0,123439076.0,9.07,8.95,8.92,9.27
2022-03-02,002284.XSHE,9.12,9.02,9.14,8.95,6171244.0,55662654.0,9.13,8.93,8.94,9.32
2022-03-01,002284.XSHE,9.26,9.17,9.32,9.07,8197132.0,74974600.0,9.14,8.9,8.95,9.35
2022-02-28,002284.XSHE,9.07,9.25,9.32,8.92,13823979.0,126361583.0,9.01,8.84,8.95,9.39
2022-02-25,002284.XSHE,9.2,9.16,9.43,8.99,17407721.0,160022080.0,8.95,8.77,8.99,9.43
2022-02-24,002284.XSHE,8.92,9.06,9.37,8.76,27134009.0,247336930.0,8.83,8.71,9.01,9.48
2022-02-23,002284.XSHE,8.6,9.05,9.25,8.6,24095147.0,215176229.0,8.72,8.71,9.06,9.55
2022-02-22,002284.XSHE,8.87,8.55,8.87,8.5,17670639.0,152086586.0,8.65,8.74,9.14,9.62
2022-02-21,002284.XSHE,8.56,8.91,9.04,8.48,20559273.0,181730522.0,8.67,8.81,9.25,9.7
2022-02-18,002284.XSHE,8.48,8.56,8.58,8.37,6492574.0,55154805.0,8.6,8.83,9.34,9.75
2022-02-17,002284.XSHE,8.65,8.55,8.74,8.5,9457314.0,81394927.0,8.59,8.9,9.44,9.79
2022-02-16,002284.XSHE,8.74,8.7,8.75,8.58,6962908.0,60230080.0,8.7,8.95,9.51,9.83
2022-02-15,002284.XSHE,8.55,8.64,8.75,8.41,12025305.0,103736550.0,8.83,9.01,9.58,9.88
2022-02-14,002284.XSHE,8.42,8.54,8.73,8.25,10856930.0,92867696.0,8.96,9.06,9.66,9.89
2022-02-11,002284.XSHE,9.02,8.52,9.04,8.39,21258940.0,184815556.0,9.06,9.2,9.76,9.93
2022-02-10,002284.XSHE,9.31,9.12,9.37,8.99,10330105.0,94186360.0,9.2,9.31,9.87,9.97
2022-02-09,002284.XSHE,9.3,9.32,9.42,9.14,11689676.0,108542886.0,9.2,9.4,9.97,10.0
2022-02-08,002284.XSHE,9.06,9.28,9.3,8.83,13199470.0,119597452.0,9.19,9.53,10.05,10.01
