,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,92.0,92.0,000428.SZ,20220316.0,3.42,3.67,3.42,3.67,3.34,0.33,9.8802,337387.34,121995.465,,,,,,,,,,,,,,,,,,,,,,,,
1,94.0,94.0,000430.SZ,20220316.0,5.73,6.14,5.72,6.14,5.58,0.56,10.0358,229651.87,137849.757,,,,,,,,,,,,,,,,,,,,,,,,
3,183.0,183.0,000610.SZ,20220316.0,8.5,8.91,8.22,8.91,8.1,0.81,10.0,319497.11,282655.363,,,,,,,,,,,,,,,,,,,,,,,,
4,191.0,191.0,000620.SZ,20220316.0,2.49,2.74,2.43,2.74,2.49,0.25,10.0402,652611.17,170613.436,,,,,,,,,,,,,,,,,,,,,,,,
5,270.0,270.0,000732.SZ,20220316.0,2.57,2.76,2.49,2.76,2.51,0.25,9.9602,770720.56,203912.325,,,,,,,,,,,,,,,,,,,,,,,,
6,291.0,291.0,000776.SZ,20220316.0,16.2,17.5,16.09,17.5,15.91,1.59,9.9937,1334939.83,2244147.43,,,,,,,,,,,,,,,,,,,,,,,,
8,306.0,306.0,000796.SZ,20220316.0,10.12,10.12,10.12,10.12,9.2,0.92,10.0,252313.47,255341.231,,,,,,,,,,,,,,,,,,,,,,,,
9,321.0,321.0,000815.SZ,20220316.0,17.45,19.16,16.7,19.16,17.42,1.74,9.9885,1553708.15,2839338.464,,,,,,,,,,,,,,,,,,,,,,,,
10,350.0,350.0,000862.SZ,20220316.0,8.5,9.04,8.34,9.04,8.22,0.82,9.9757,808422.4,704997.302,,,,,,,,,,,,,,,,,,,,,,,,
11,365.0,365.0,000888.SZ,20220316.0,6.7,7.18,6.7,7.18,6.53,0.65,9.9541,248579.95,173223.994,,,,,,,,,,,,,,,,,,,,,,,,
