,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
115,115,000524.SZ,20220317,11.75,11.75,11.75,11.75,10.68,1.07,10.0187,85079.0,99967.825
191,191,000620.SZ,20220317,3.01,3.01,3.01,3.01,2.74,0.27,9.854,443199.36,133403.007
258,258,000718.SZ,20220317,3.95,3.95,3.95,3.95,3.59,0.36,10.0279,187163.53,73929.594
281,281,000755.SZ,20220317,4.02,4.38,3.99,4.38,3.98,0.4,10.0503,184233.0,77553.864
288,288,000766.SZ,20220317,4.79,5.25,4.72,5.25,4.77,0.48,10.0629,379130.01,196210.833
339,339,000838.SZ,20220317,9.27,9.96,9.2,9.96,9.05,0.91,10.0552,408624.51,392544.022
388,388,000918.SZ,20220317,2.41,2.52,2.41,2.52,2.29,0.23,10.0437,300721.38,75570.615
478,478,001914.SZ,20220317,14.3,15.06,14.28,15.06,13.69,1.37,10.0073,118473.98,174713.098
495,495,002015.SZ,20220317,14.45,15.57,14.44,15.57,14.15,1.42,10.0353,220646.36,340456.897
496,496,002016.SZ,20220317,5.42,5.72,5.33,5.72,5.2,0.52,10.0,102404.0,57639.15
580,580,002104.SZ,20220317,11.68,13.22,11.51,13.22,12.02,1.2,9.9834,2498208.96,3123094.362
609,609,002133.SZ,20220317,3.67,3.86,3.67,3.86,3.51,0.35,9.9715,786581.23,300006.108
652,652,002177.SZ,20220317,5.12,5.63,5.11,5.63,5.12,0.51,9.9609,1149050.35,634695.23
720,720,002246.SZ,20220317,15.08,16.54,14.5,16.54,15.04,1.5,9.9734,1565890.14,2481374.321
833,833,002362.SZ,20220317,14.67,16.01,14.67,16.01,14.55,1.46,10.0344,59715.01,92607.156
855,855,002384.SZ,20220317,18.61,20.21,18.56,20.21,18.37,1.84,10.0163,468604.45,916797.958
893,893,002422.SZ,20220317,16.51,17.62,16.4,17.61,16.02,1.59,9.9251,493159.26,854369.543
908,908,002437.SZ,20220317,2.88,3.17,2.84,3.17,2.88,0.29,10.0694,1716963.58,536136.846
977,977,002508.SZ,20220317,26.89,28.9,26.68,28.9,26.27,2.63,10.0114,124906.31,349706.265
1004,1004,002537.SZ,20220317,10.15,10.96,9.71,10.96,9.96,1.0,10.0402,2614460.75,2671112.953
1008,1008,002541.SZ,20220317,39.4,42.63,39.22,42.63,38.75,3.88,10.0129,76784.78,317246.281
1022,1022,002555.SZ,20220317,20.7,21.48,20.7,21.48,19.53,1.95,9.9846,346145.81,741614.144
1066,1066,002599.SZ,20220317,5.21,5.69,5.19,5.69,5.17,0.52,10.058,200179.66,111651.191
1071,1071,002605.SZ,20220317,18.35,19.59,18.11,19.59,17.81,1.78,9.9944,63418.27,121971.197
1078,1078,002612.SZ,20220317,22.77,24.67,22.77,24.67,22.43,2.24,9.9866,245003.02,594122.571
1079,1079,002613.SZ,20220317,5.31,5.31,5.31,5.31,4.83,0.48,9.9379,105704.93,56129.317
1090,1090,002624.SZ,20220317,12.02,12.9,12.0,12.9,11.73,1.17,9.9744,403125.8,512108.288
1105,1105,002639.SZ,20220317,10.06,10.98,10.0,10.98,9.98,1.0,10.02,1201959.06,1276439.61
1133,1133,002667.SZ,20220317,19.45,20.89,19.06,20.89,18.99,1.9,10.0053,149851.2,307238.948
1136,1136,002670.SZ,20220317,10.54,10.54,10.22,10.54,9.58,0.96,10.0209,1174986.58,1234155.37
1171,1171,002707.SZ,20220317,6.7,7.1,6.6,7.1,6.45,0.65,10.0775,1267534.74,879297.762
1210,1210,002750.SZ,20220317,12.71,13.98,12.42,13.98,12.71,1.27,9.9921,540147.6,736011.691
1220,1220,002761.SZ,20220317,34.61,34.61,34.61,34.61,31.46,3.15,10.0127,43303.77,149874.347
1243,1243,002786.SZ,20220317,6.19,6.74,6.15,6.74,6.13,0.61,9.9511,97912.0,64296.911
1248,1248,002791.SZ,20220317,89.1,95.71,89.1,95.71,87.01,8.7,9.9989,38678.64,361201.841
1264,1264,002809.SZ,20220317,10.13,11.07,10.13,11.07,10.06,1.01,10.0398,35988.76,38832.846
1278,1278,002824.SZ,20220317,36.81,36.81,35.25,36.81,33.46,3.35,10.012,64106.46,233835.509
1290,1290,002837.SZ,20220317,35.64,37.91,34.91,37.91,34.46,3.45,10.0116,115402.21,425394.39
1315,1315,002864.SZ,20220317,32.79,32.79,32.79,32.79,29.81,2.98,9.9966,26821.54,87947.829
1362,1362,002915.SZ,20220317,20.46,22.23,20.45,22.23,20.21,2.02,9.9951,26803.16,58692.776
1388,1388,002943.SZ,20220317,28.41,31.25,28.41,31.25,28.41,2.84,9.9965,49836.0,151621.154
1407,1407,002965.SZ,20220317,25.37,25.37,25.37,25.37,23.06,2.31,10.0173,3480.0,8828.76
1480,1480,003043.SZ,20220317,58.0,61.6,58.0,61.6,56.0,5.6,10.0,12587.53,76218.44
2034,2034,300566.SZ,20220317,20.8,22.48,20.6,22.3,20.28,2.02,9.9606,34194.3,73326.262
2644,2644,600056.SH,20220317,28.5,30.24,28.0,30.24,27.49,2.75,10.0036,1039008.99,3065187.102
2654,2654,600067.SH,20220317,3.11,3.34,3.11,3.34,3.04,0.3,9.8684,126284.2,41219.27
2661,2661,600077.SH,20220317,5.42,5.42,5.42,5.42,4.93,0.49,9.9391,75900.48,41138.06
2734,2734,600162.SH,20220317,2.03,2.19,2.03,2.19,1.99,0.2,10.0503,671173.29,144446.305
2766,2766,600199.SH,20220317,29.2,32.27,29.2,32.27,29.34,2.93,9.9864,1135383.04,3530644.802
2801,2801,600238.SH,20220317,12.5,13.63,12.5,13.63,12.39,1.24,10.0081,231981.53,308403.511
2814,2814,600257.SH,20220317,5.98,6.28,5.84,6.28,5.71,0.57,9.9825,778612.37,485304.478
2895,2895,600355.SH,20220317,4.23,4.64,4.05,4.64,4.22,0.42,9.9526,1823660.29,801910.677
2918,2918,600381.SH,20220317,13.2,14.4,12.86,14.4,13.09,1.31,10.0076,722655.98,1010403.206
2928,2928,600392.SH,20220317,16.87,16.87,16.87,16.87,15.34,1.53,9.9739,119561.5,201700.251
3045,3045,600556.SH,20220317,8.19,8.95,8.19,8.95,8.14,0.81,9.9509,298228.85,258189.285
3098,3098,600613.SH,20220317,6.16,6.74,6.08,6.74,6.13,0.61,9.9511,178473.25,115694.2
3174,3174,600706.SH,20220317,12.5,13.06,12.27,13.06,11.87,1.19,10.0253,525554.63,673412.495
3202,3202,600736.SH,20220317,5.51,5.96,5.46,5.96,5.42,0.54,9.9631,1757829.58,1025753.387
3309,3309,600857.SH,20220317,11.36,12.5,11.36,12.5,11.36,1.14,10.0352,150512.43,185304.468
3312,3312,600860.SH,20220317,15.45,16.72,15.18,16.72,15.2,1.52,10.0,237320.68,381803.872
3332,3332,600882.SH,20220317,33.2,35.73,32.5,35.73,32.48,3.25,10.0062,82367.45,287867.584
3451,3451,601155.SH,20220317,23.9,23.9,23.17,23.9,21.73,2.17,9.9862,256148.69,609138.024
3513,3513,601567.SH,20220317,9.45,10.24,9.39,10.24,9.31,0.93,9.9893,318846.94,317443.955
3524,3524,601607.SH,20220317,18.73,20.44,18.68,20.44,18.58,1.86,10.0108,347035.83,699729.193
