,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,99.0,99.0,000503.SZ,20220210.0,11.6,12.85,11.5,12.85,11.68,1.17,10.0171,625850.89,776416.247,,,,,,,,,,,,,,,,,,,,,,,,
3,252.0,252.0,000711.SZ,20220210.0,4.42,4.8,4.1,4.8,4.36,0.44,10.0917,1804566.86,803293.748,,,,,,,,,,,,,,,,,,,,,,,,
4,306.0,306.0,000796.SZ,20220210.0,8.92,9.77,8.92,9.77,8.88,0.89,10.0225,340560.17,320697.43,,,,,,,,,,,,,,,,,,,,,,,,
6,350.0,350.0,000862.SZ,20220210.0,7.5,8.24,7.42,8.24,7.49,0.75,10.0134,513143.02,403972.599,,,,,,,,,,,,,,,,,,,,,,,,
7,405.0,405.0,000937.SZ,20220210.0,5.62,6.23,5.54,6.23,5.66,0.57,10.0707,1354395.28,805221.652,,,,,,,,,,,,,,,,,,,,,,,,
8,449.0,449.0,001201.SZ,20220210.0,36.08,39.82,36.03,39.82,36.2,3.62,10.0,79307.93,309615.37,,,,,,,,,,,,,,,,,,,,,,,,
9,467.0,467.0,001234.SZ,20220210.0,29.9,32.47,28.9,32.47,29.52,2.95,9.9932,74295.6,230099.519,,,,,,,,,,,,,,,,,,,,,,,,
12,631.0,631.0,002157.SZ,20220210.0,7.08,7.85,7.04,7.85,7.14,0.71,9.944,1535255.61,1153316.078,,,,,,,,,,,,,,,,,,,,,,,,
15,785.0,785.0,002314.SZ,20220210.0,4.15,4.58,4.08,4.58,4.16,0.42,10.0962,541448.64,237824.212,,,,,,,,,,,,,,,,,,,,,,,,
16,887.0,887.0,002417.SZ,20220210.0,7.67,8.66,7.22,8.66,7.87,0.79,10.0381,1170865.45,939506.146,,,,,,,,,,,,,,,,,,,,,,,,
19,1069.0,1069.0,002605.SZ,20220210.0,24.9,26.91,24.3,26.91,24.46,2.45,10.0164,179219.32,455702.112,,,,,,,,,,,,,,,,,,,,,,,,
20,1085.0,1085.0,002621.SZ,20220210.0,4.27,4.76,4.2,4.76,4.33,0.43,9.9307,384993.12,174122.247,,,,,,,,,,,,,,,,,,,,,,,,
23,1135.0,1135.0,002671.SZ,20220210.0,5.58,5.58,5.58,5.58,5.07,0.51,10.0592,64730.9,36119.842,,,,,,,,,,,,,,,,,,,,,,,,
24,1169.0,1169.0,002707.SZ,20220210.0,7.21,7.94,7.15,7.94,7.22,0.72,9.9723,864934.1,666126.833,,,,,,,,,,,,,,,,,,,,,,,,
26,1235.0,1235.0,002779.SZ,20220210.0,19.17,21.08,18.8,21.08,19.16,1.92,10.0209,75159.85,154372.21,,,,,,,,,,,,,,,,,,,,,,,,
28,1394.0,1394.0,002955.SZ,20220210.0,20.2,22.22,19.98,22.22,20.2,2.02,10.0,45746.72,98326.061,,,,,,,,,,,,,,,,,,,,,,,,
29,1435.0,1435.0,002999.SZ,20220210.0,7.24,7.89,7.2,7.89,7.17,0.72,10.0418,317335.71,246785.664,,,,,,,,,,,,,,,,,,,,,,,,
31,1472.0,1472.0,003039.SZ,20220210.0,27.1,28.64,27.1,28.64,26.04,2.6,9.9846,34824.06,99136.924,,,,,,,,,,,,,,,,,,,,,,,,
32,1742.0,1742.0,300272.SZ,20220210.0,6.67,7.4,6.65,7.38,6.72,0.66,9.8214,483100.03,347218.139,,,,,,,,,,,,,,,,,,,,,,,,
33,2881.0,2881.0,600358.SH,20220210.0,4.99,5.57,4.99,5.57,5.06,0.51,10.0791,552260.18,295451.325,,,,,,,,,,,,,,,,,,,,,,,,
34,3157.0,3157.0,600706.SH,20220210.0,10.67,11.9,10.51,11.9,10.82,1.08,9.9815,463489.16,520703.397,,,,,,,,,,,,,,,,,,,,,,,,
35,3292.0,3292.0,600857.SH,20220210.0,11.72,13.04,11.51,13.04,11.85,1.19,10.0422,189307.05,234761.898,,,,,,,,,,,,,,,,,,,,,,,,
36,3301.0,3301.0,600866.SH,20220210.0,5.92,6.51,5.83,6.51,5.92,0.59,9.9662,954315.79,595922.296,,,,,,,,,,,,,,,,,,,,,,,,
37,3339.0,3339.0,600916.SH,20220210.0,12.08,13.28,12.07,13.27,12.07,1.2,9.942,568776.41,740154.026,,,,,,,,,,,,,,,,,,,,,,,,
39,3368.0,3368.0,600975.SH,20220210.0,6.98,7.63,6.9,7.63,6.94,0.69,9.9424,436818.51,328260.384,,,,,,,,,,,,,,,,,,,,,,,,
40,3556.0,3556.0,601858.SH,20220210.0,8.63,9.49,8.59,9.49,8.63,0.86,9.9652,136174.24,126852.273,,,,,,,,,,,,,,,,,,,,,,,,
42,3702.0,3702.0,603136.SH,20220210.0,18.65,20.47,18.31,20.47,18.61,1.86,9.9946,117617.3,232616.089,,,,,,,,,,,,,,,,,,,,,,,,
44,3723.0,3723.0,603180.SH,20220210.0,35.77,36.3,34.85,36.3,33.0,3.3,10.0,65310.46,233788.864,,,,,,,,,,,,,,,,,,,,,,,,
45,3823.0,3823.0,603363.SH,20220210.0,19.39,21.34,19.11,21.34,19.4,1.94,10.0,298370.31,614196.939,,,,,,,,,,,,,,,,,,,,,,,,
46,3848.0,3848.0,603429.SH,20220210.0,22.97,25.27,22.87,25.27,22.97,2.3,10.0131,74838.65,184969.416,,,,,,,,,,,,,,,,,,,,,,,,
48,3892.0,3892.0,603577.SH,20220210.0,10.36,11.47,10.15,11.47,10.43,1.04,9.9712,239164.78,263037.922,,,,,,,,,,,,,,,,,,,,,,,,
49,3905.0,3905.0,603598.SH,20220210.0,11.85,13.21,11.7,13.21,12.01,1.2,9.9917,462293.67,580035.396,,,,,,,,,,,,,,,,,,,,,,,,
50,3998.0,3998.0,603759.SH,20220210.0,17.49,18.18,17.04,18.18,16.53,1.65,9.9819,113670.9,205264.672,,,,,,,,,,,,,,,,,,,,,,,,
51,4026.0,4026.0,603817.SH,20220210.0,6.79,6.79,6.79,6.79,6.17,0.62,10.0486,44267.8,30057.836,,,,,,,,,,,,,,,,,,,,,,,,
53,4039.0,4039.0,603843.SH,20220210.0,4.57,5.03,4.54,5.03,4.57,0.46,10.0656,220816.42,109511.592,,,,,,,,,,,,,,,,,,,,,,,,
