,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20220216,16.35,16.53,16.21,16.41,16.28,0.13,0.7985,782399.59,1282234.15
1,000002.SZ,20220216,19.87,20.16,19.74,20.0,19.81,0.19,0.9591,706489.87,1409098.466
2,000004.SZ,20220216,25.86,25.86,23.9,24.1,23.51,0.59,2.5096,310701.16,789193.348
3,000005.SZ,20220216,2.22,2.24,2.22,2.23,2.22,0.01,0.4505,40367.39,8985.309
4,000006.SZ,20220216,4.46,4.51,4.45,4.48,4.45,0.03,0.6742,64593.13,28888.851
5,000007.SZ,20220216,6.58,6.8,6.55,6.62,6.55,0.07,1.0687,40214.0,26744.389
6,000008.SZ,20220216,2.53,2.56,2.52,2.54,2.53,0.01,0.3953,332872.29,84552.656
7,000009.SZ,20220216,13.5,13.6,13.35,13.48,13.46,0.02,0.1486,419530.13,564893.132
8,000010.SZ,20220216,3.58,3.93,3.58,3.76,3.57,0.19,5.3221,384516.37,146333.729
9,000011.SZ,20220216,11.04,11.22,11.04,11.15,11.04,0.11,0.9964,25549.87,28511.448
10,000012.SZ,20220216,8.6,8.95,8.58,8.7,8.55,0.15,1.7544,293827.56,257632.473
11,000014.SZ,20220216,9.36,9.63,8.88,9.2,9.24,-0.04,-0.4329,254223.33,234151.657
12,000016.SZ,20220216,5.98,6.04,5.91,5.94,5.96,-0.02,-0.3356,76805.09,45696.004
13,000017.SZ,20220216,3.34,3.45,3.34,3.43,3.37,0.06,1.7804,29015.85,9915.699
14,000019.SZ,20220216,6.78,6.82,6.78,6.82,6.77,0.05,0.7386,25403.78,17277.298
15,000020.SZ,20220216,9.99,10.1,9.71,10.07,9.82,0.25,2.5458,32441.03,32232.031
16,000021.SZ,20220216,13.75,13.83,13.64,13.69,13.64,0.05,0.3666,50837.86,69672.995
17,000023.SZ,20220216,12.53,13.1,12.53,12.94,12.52,0.42,3.3546,9388.31,12014.176
18,000025.SZ,20220216,14.78,14.86,14.67,14.73,14.75,-0.02,-0.1356,23224.08,34229.602
19,000026.SZ,20220216,11.18,11.27,11.14,11.18,11.14,0.04,0.3591,38353.91,42950.19
20,000027.SZ,20220216,7.28,7.35,7.24,7.28,7.24,0.04,0.5525,89613.66,65368.346
21,000028.SZ,20220216,33.75,33.78,33.54,33.63,33.63,0.0,0.0,10954.5,36867.143
22,000029.SZ,20220216,7.48,7.59,7.46,7.56,7.51,0.05,0.6658,13715.0,10340.165
23,000030.SZ,20220216,6.3,6.39,6.26,6.36,6.25,0.11,1.76,68148.0,43119.601
24,000031.SZ,20220216,3.76,3.84,3.74,3.82,3.76,0.06,1.5957,105383.9,40096.082
25,000032.SZ,20220216,22.49,22.66,22.05,22.28,22.31,-0.03,-0.1345,26128.2,58390.404
26,000034.SZ,20220216,15.9,16.08,15.57,15.64,15.71,-0.07,-0.4456,95188.4,150029.18
27,000035.SZ,20220216,5.75,5.95,5.72,5.89,5.71,0.18,3.1524,147182.47,86563.5
28,000036.SZ,20220216,4.05,4.1,4.03,4.05,4.04,0.01,0.2475,76336.8,30997.102
29,000037.SZ,20220216,6.92,7.05,6.92,7.02,6.94,0.08,1.1527,10595.99,7426.228
30,000038.SZ,20220216,9.5,9.67,9.5,9.5,9.61,-0.11,-1.1446,61180.0,58618.221
31,000039.SZ,20220216,15.15,15.46,15.12,15.33,15.11,0.22,1.456,91372.16,140263.122
32,000040.SZ,20220216,3.38,3.42,3.36,3.39,3.37,0.02,0.5935,139018.68,47111.117
33,000042.SZ,20220216,8.2,8.43,8.15,8.41,8.18,0.23,2.8117,36462.18,30406.212
34,000045.SZ,20220216,8.86,8.93,8.59,8.66,8.9,-0.24,-2.6966,57460.73,49932.27
35,000046.SZ,20220216,1.87,1.89,1.85,1.88,1.87,0.01,0.5348,270129.45,50484.301
36,000048.SZ,20220216,22.5,22.58,21.53,22.16,22.45,-0.29,-1.2918,43975.37,97104.859
37,000049.SZ,20220216,43.85,45.65,43.85,44.79,43.79,1.0,2.2836,111030.32,497657.149
38,000050.SZ,20220216,12.16,12.22,12.1,12.13,12.13,0.0,0.0,48969.83,59493.688
39,000055.SZ,20220216,4.51,4.59,4.51,4.56,4.51,0.05,1.1086,68563.25,31186.69
40,000056.SZ,20220216,8.06,8.57,8.0,8.38,8.06,0.32,3.9702,413087.24,343851.346
41,000058.SZ,20220216,6.08,6.18,6.06,6.17,6.06,0.11,1.8152,67857.01,41682.455
42,000059.SZ,20220216,7.33,7.44,7.27,7.42,7.36,0.06,0.8152,92528.35,68184.981
43,000060.SZ,20220216,4.9,4.96,4.88,4.94,4.89,0.05,1.0225,259464.41,127920.192
44,000061.SZ,20220216,5.88,5.94,5.88,5.9,5.87,0.03,0.5111,46395.37,27387.002
45,000062.SZ,20220216,15.32,15.34,15.11,15.23,15.18,0.05,0.3294,32603.11,49617.693
46,000063.SZ,20220216,29.7,29.76,29.23,29.36,29.36,0.0,0.0,309132.19,909011.456
47,000065.SZ,20220216,8.65,8.95,8.6,8.92,8.68,0.24,2.765,160040.0,141290.015
48,000066.SZ,20220216,13.18,13.2,12.95,13.07,13.03,0.04,0.307,196588.31,256752.436
49,000068.SZ,20220216,3.23,3.26,3.2,3.25,3.22,0.03,0.9317,56412.0,18268.568
50,000069.SZ,20220216,7.2,7.43,7.17,7.22,7.2,0.02,0.2778,676377.55,491427.817
51,000070.SZ,20220216,5.85,5.95,5.82,5.84,5.81,0.03,0.5164,55573.0,32604.349
52,000078.SZ,20220216,3.23,3.25,3.21,3.23,3.22,0.01,0.3106,112346.05,36283.886
53,000088.SZ,20220216,5.2,5.3,5.2,5.29,5.2,0.09,1.7308,43146.04,22702.204
54,000089.SZ,20220216,7.91,7.98,7.84,7.9,7.88,0.02,0.2538,111050.03,87808.732
