,trade_date,open,close,high,low,volume,money
0,2017-01-03,18.42,18.64,18.71,18.42,2051909.0,38047878.0
1,2017-01-04,18.69,18.82,18.87,18.52,2690456.0,50330595.0
2,2017-01-05,18.83,18.58,18.89,18.57,2559502.0,47889714.0
3,2017-01-06,18.58,17.94,18.62,17.92,3482223.0,63272066.0
4,2017-01-09,17.79,17.9,17.95,17.63,2252069.0,40139471.0
5,2017-01-10,17.9,17.93,18.1,17.9,2074291.0,37382628.0
6,2017-01-11,17.85,17.65,17.97,17.63,2146920.0,38070343.0
7,2017-01-12,17.64,16.84,17.75,16.81,3706118.0,64014441.0
8,2017-01-13,16.77,15.88,16.77,15.71,4396281.0,71089751.0
9,2017-01-16,15.76,14.85,15.76,14.29,4179517.0,62708457.0
10,2017-01-17,14.79,15.28,15.36,14.42,3466178.0,51961372.0
11,2017-01-18,15.11,14.99,15.33,14.95,1983081.0,30009631.0
12,2017-01-19,14.99,15.05,15.34,14.73,2276307.0,34304209.0
13,2017-01-20,14.88,15.33,15.44,14.88,2607218.0,39852041.0
14,2017-01-23,15.35,15.49,15.65,15.35,1838569.0,28525408.0
15,2017-01-24,15.42,15.28,15.58,15.26,1896897.0,29119014.0
16,2017-01-25,15.26,15.39,15.43,15.08,1347052.0,20650374.0
17,2017-01-26,15.37,15.42,15.62,15.27,1364174.0,21062799.0
18,2017-02-03,15.51,15.35,15.51,15.24,972233.0,14926824.0
19,2017-02-06,15.35,16.29,16.53,15.33,5561891.0,89235935.0
20,2017-02-07,16.1,16.08,16.24,15.87,3282919.0,52706819.0
21,2017-02-08,15.95,16.44,16.53,15.9,4103327.0,66897048.0
22,2017-02-09,16.38,16.44,16.62,16.28,3126007.0,51372422.0
23,2017-02-10,16.42,16.15,16.53,16.13,2403931.0,39256005.0
24,2017-02-13,16.14,16.46,16.59,16.07,2946750.0,48364436.0
25,2017-02-14,16.48,16.63,16.7,16.41,3178650.0,52682223.0
26,2017-02-15,16.63,16.84,17.12,16.63,5185346.0,87771183.0
27,2017-02-16,16.77,16.66,16.8,16.46,3007368.0,49901924.0
28,2017-02-17,16.7,16.57,17.13,16.56,4737446.0,79883016.0
29,2017-02-20,16.55,16.44,16.55,16.03,3180495.0,51818118.0
30,2017-02-21,16.4,16.58,16.75,16.35,2173697.0,36058982.0
31,2017-02-22,16.56,16.59,16.75,16.45,2261530.0,37506604.0
32,2017-02-23,16.59,16.67,16.79,16.46,3466352.0,57693772.0
33,2017-02-24,16.76,16.83,16.88,16.61,2953586.0,49501685.0
34,2017-02-27,16.87,16.56,16.91,16.48,2753539.0,45962180.0
35,2017-02-28,16.55,16.59,16.67,16.48,1694023.0,28028466.0
36,2017-03-01,16.59,16.71,16.79,16.53,2689044.0,44877363.0
37,2017-03-02,17.01,16.92,17.42,16.84,7846953.0,134437682.0
38,2017-03-03,16.71,16.93,16.94,16.47,4285586.0,71436711.0
39,2017-03-06,16.89,17.11,17.13,16.79,3436758.0,58545063.0
40,2017-03-07,17.22,17.75,17.77,17.11,8010134.0,140027324.0
41,2017-03-08,17.52,17.57,18.11,17.5,6351692.0,112730981.0
42,2017-03-09,17.57,17.76,18.06,17.53,6838007.0,121628019.0
43,2017-03-10,17.7,17.84,17.87,17.4,5440527.0,95724113.0
44,2017-03-13,17.79,17.84,18.04,17.54,4163165.0,74025736.0
45,2017-03-14,17.84,17.51,17.89,17.5,4030057.0,71280479.0
46,2017-03-15,17.55,17.28,17.56,17.27,3483730.0,60494827.0
47,2017-03-16,17.48,17.94,17.97,17.34,7076432.0,125847773.0
48,2017-03-17,17.94,17.55,18.11,17.47,6571866.0,117217690.0
49,2017-03-20,17.52,17.69,17.74,17.43,3038178.0,53328357.0
50,2017-03-21,17.65,17.74,17.78,17.63,2721095.0,48174379.0
51,2017-03-22,17.59,17.7,17.82,17.38,3389734.0,59523906.0
52,2017-03-23,17.67,19.18,19.47,17.67,23584114.0,447269341.0
53,2017-03-24,18.8,18.79,19.19,18.67,12141838.0,229004357.0
54,2017-03-27,18.69,18.41,18.87,18.1,8494376.0,156647965.0
55,2017-03-28,18.38,18.48,18.78,18.19,6546794.0,121146082.0
56,2017-03-29,18.29,17.82,18.56,17.81,5772438.0,104139861.0
57,2017-03-30,17.72,16.52,17.74,16.46,6911647.0,116512081.0
